phase_name,phase,step,location,Task,Note,FALSE
"Ready, Set, Code!",1,3,Terminal,Install node.js,,TRUE
"Ready, Set, Code!",1,3,Terminal,node -v,Check version in terminal,TRUE
"Ready, Set, Code!",1,3,Chrome,make Chrome default browser,,TRUE
"Ready, Set, Code!",1,3,Chrome,Add vue.js dev tools extension to chrome,,TRUE
"Ready, Set, Code!",1,4,Terminal,mkdir masterclass,iterm,TRUE
"Ready, Set, Code!",1,4,Terminal,cd masterclass,iterm,TRUE
"Ready, Set, Code!",1,4,Terminal,npm create vue@latest,https://vuejs.org/guide/quick-start.html,TRUE
"Ready, Set, Code!",1,4,Terminal,Project name,,TRUE
"Ready, Set, Code!",1,4,Terminal,TypeScript,,TRUE
"Ready, Set, Code!",1,4,Terminal,Router,,TRUE
"Ready, Set, Code!",1,4,Terminal,Pinia,,TRUE
"Ready, Set, Code!",1,4,Terminal,ESLint,,TRUE
"Ready, Set, Code!",1,4,Terminal,Prettier,,TRUE
"Ready, Set, Code!",1,4,Terminal,cd vuejs-masterclass-2024,project dir,TRUE
"Ready, Set, Code!",1,4,Terminal,npm install,,TRUE
"Ready, Set, Code!",1,5,Terminal,code,iTerm,TRUE
"Ready, Set, Code!",1,5,vscode,command+shift+P,,TRUE
"Ready, Set, Code!",1,5,vscode,type install code and select install in path,,TRUE
"Ready, Set, Code!",1,5,Terminal,code .,iTerm to open project,TRUE
"Ready, Set, Code!",1,5,vscode,install vue.js Official extension ,,TRUE
"Ready, Set, Code!",1,6,vueschool,check video on elsint and eslint 9,,TRUE
"Ready, Set, Code!",1,6,Terminal,npm install -g npm-check-updates,,TRUE
"Ready, Set, Code!",1,6,vscode,delete package.lock file,,TRUE
"Ready, Set, Code!",1,6,vscode,delete node.modules,,TRUE
"Ready, Set, Code!",1,6,terminal,npm install,,TRUE
"Ready, Set, Code!",1,7,vscode,extension prettier,,TRUE
"Ready, Set, Code!",1,8,Terminal,git --version,iTerm,TRUE
"Ready, Set, Code!",1,8,Terminal,"git config --global user.name ""Chris Conradie""",iTerm,TRUE
"Ready, Set, Code!",1,8,Terminal,"git config --global user.email ""naviel.labs@gmail.com""",iTerm,TRUE
"Ready, Set, Code!",1,8,Terminal,git init -b main,"(in your project's root directory) - Initializes a new Git repository in your project directory and creates a new ""main"" branch.",TRUE
"Ready, Set, Code!",1,8,Terminal,git add .,git add . - Adds all modified files in your project to the staging area.,TRUE
"Ready, Set, Code!",1,8,Terminal,"git commit -m ""init""","Creates a commit with a descriptive message (""init"" in this example).",TRUE
"Ready, Set, Code!",1,8,Terminal,ls -al ~/.ssh,check for ssh key,TRUE
"Ready, Set, Code!",1,8,Terminal,"ssh-keygen -t ed25519 -C ""naviel.labs@gmail.com""",add key if missing,TRUE
"Ready, Set, Code!",1,8,Terminal,pbcopy < ~/.ssh/id_ed25519.pub,"replace ""filename"" with your key's actual path and name) - Copies the generated SSH key to your clipboard.",TRUE
"Ready, Set, Code!",1,8,Terminal,github setting craete new key name it and paste key,,TRUE
"Ready, Set, Code!",1,8,Terminal,craete new repository,,TRUE
"Ready, Set, Code!",1,8,Terminal,git remote add origin <URL>,sshid,TRUE
"Ready, Set, Code!",1,8,Terminal,git push -u origin main,,TRUE
"Ready, Set, Code!",1,8,Terminal,git add -A,Adds all modified files to the staging area.,TRUE
"Ready, Set, Code!",1,8,Terminal,"git commit -m ""message""",Creates a commit with a descriptive message.,TRUE
"Ready, Set, Code!",1,8,Terminal,git push origin main,"Pushes your local commits to the remote ""main"" branch",TRUE
Project Structure and Routing,2,9,Terminal,npm run dev,,TRUE
Project Structure and Routing,2,9,src,clear assets folder,,TRUE
Project Structure and Routing,2,9,src,clear components folder,,TRUE
Project Structure and Routing,2,9,src,clear pre definded routes in index.js,,TRUE
Project Structure and Routing,2,9,src,clear import pages in index.js,,TRUE
Project Structure and Routing,2,9,src,delet default store,,TRUE
Project Structure and Routing,2,9,src,delete default views,,TRUE
Project Structure and Routing,2,9,app.vue,clear up script,,TRUE
